Rank,Country,Happiness_2021 ,Happiness_2020,2022_Population
1,Finland,7.842,7.809,5554960
2,Denmark,7.62,7.646,5834950
3,Switzerland,7.571,7.56,8773637
4,Iceland,7.554,7.504,345393
5,Netherlands,7.464,7.449,17211447
6,Norway,7.392,7.488,5511370
7,Sweden,7.363,7.353,10218971
8,Luxembourg,7.324,7.238,642371
9,New Zealand,7.277,7.3,4898203
10,Austria,7.268,7.294,9066710
11,Australia,7.183,7.223,26068792
12,Israel,7.157,7.129,8922892
13,Germany,7.155,7.076,83883596
14,Canada,7.103,7.232,38388419
15,Ireland,7.085,7.129,5020199
16,Costa Rica,7.069,7.121,5182354
17,United Kingdom,7.064,7.165,68497907
18,Czech Republic,6.965,6.911,10736784
19,United States,6.951,6.94,334805269
20,Belgium,6.834,6.864,11668278
21,France,6.69,6.664,65584518
22,Bahrain,6.647,6.227,1783983
23,Malta,6.602,6.773,444033
24,Taiwan,6.584,6.455,23888595
25,United Arab Emirates,6.561,6.791,10081785
26,Saudi Arabia,6.494,6.406,35844909
27,Spain,6.491,6.401,46719142
28,Italy,6.483,6.387,60262770
29,Slovenia,6.461,6.363,2078034
30,Guatemala,6.435,6.399,18584039
31,Uruguay,6.431,6.44,3496016
32,Singapore,6.377,6.377,5943546
33,Slovakia,6.331,6.281,5460193
34,Brazil,6.33,6.376,215353593
35,Mexico,6.317,6.465,131562772
36,Jamaica,6.309,5.89,2985094
37,Lithuania,6.255,6.215,2661708
38,Cyprus,6.223,6.159,1223387
39,Estonia,6.189,6.022,1321910
40,Panama,6.18,6.305,4446964
41,Uzbekistan,6.179,6.258,34382084
42,Chile,6.172,6.228,19250195
43,Poland,6.166,6.186,37739785
44,Kazakhstan,6.152,6.058,19205043
45,Romania,6.14,6.124,19031335
46,Kuwait,6.106,6.102,4380326
47,Serbia,6.078,5.778,8653016
48,El Salvador,6.061,6.348,6550389
49,Mauritius,6.049,6.101,1274727
50,Latvia,6.032,5.95,1848837
51,Colombia,6.012,6.163,51512762
52,Hungary,5.992,6,9606259
53,Thailand,5.985,5.999,70078203
54,Nicaragua,5.972,6.137,6779100
55,Japan,5.94,5.871,125584838
57,Portugal,5.929,5.911,10140570
56,Argentina,5.929,5.975,46010234
58,Honduras,5.919,5.953,10221247
59,Croatia,5.882,5.505,4059286
60,Philippines,5.88,6.006,112508994
61,South Korea,5.845,5.872,51329899
62,Peru,5.84,5.797,33684208
63,Bosnia And Herzegovina,5.813,5.674,3249317
64,Moldova,5.766,5.608,4013171
65,Ecuador,5.764,5.925,18113361
66,Kyrgyzstan,5.744,5.542,6728271
67,Greece,5.723,5.515,10316637
68,Bolivia,5.716,5.747,11992656
69,Mongolia,5.677,5.456,3378078
70,Paraguay,5.653,5.692,7305843
71,Montenegro,5.581,5.546,627950
72,Dominican Republic,5.545,5.689,11056370
73,Belarus,5.534,5.54,9432800
75,Hong Kong,5.477,5.51,7604299
74,Russia,5.477,5.546,145805947
76,Tajikistan,5.466,5.556,9957464
77,Vietnam,5.411,5.353,98953541
78,Libya,5.41,5.489,7040745
79,Malaysia,5.384,5.384,33181072
80,Indonesia,5.345,5.286,279134505
81,Republic of the Congo,5.342,5.194,5797805
82,China,5.339,5.124,1448471400
83,Ivory Coast,5.306,5.233,27742298
84,Armenia,5.283,4.677,2971966
85,Nepal,5.269,5.137,30225582
86,Bulgaria,5.266,5.102,6844597
87,Maldives,5.198,5.198,540985
88,Azerbaijan,5.171,5.165,10300205
89,Cameroon,5.142,5.085,27911548
90,Senegal,5.132,4.981,17653671
91,Albania,5.117,4.883,2866374
92,North Macedonia,5.101,5.16,2081304
93,Ghana,5.088,5.148,32395450
94,Niger,5.074,4.91,26083660
95,Turkmenistan,5.066,5.119,6201943
96,Gambia,5.051,4.751,2558482
97,Benin,5.045,5.216,12784726
98,Laos,5.03,4.889,7481023
99,Bangladesh,5.025,4.833,167885689
100,Guinea,4.984,4.949,13865691
101,South Africa,4.956,4.814,60756135
102,Turkey,4.948,5.132,85561976
103,Pakistan,4.934,5.693,229488994
104,Morocco,4.918,5.095,37772756
105,Venezuela,4.892,5.053,29266991
106,Georgia,4.891,4.673,3968738
107,Algeria,4.887,5.005,45350148
108,Ukraine,4.875,4.561,43192122
109,Iraq,4.854,4.785,42164965
110,Gabon,4.852,4.829,2331533
111,Burkina Faso,4.834,4.769,22102838
112,Cambodia,4.83,4.848,17168639
113,Mozambique,4.794,4.624,33089461
114,Nigeria,4.759,4.724,216746934
115,Mali,4.723,4.729,21473764
116,Iran,4.721,4.672,86022837
117,Uganda,4.636,4.432,48432863
118,Liberia,4.625,4.558,5305117
119,Kenya,4.607,4.583,56215221
120,Tunisia,4.596,4.392,12046656
121,Lebanon,4.584,4.772,6684849
122,Namibia,4.574,4.571,2633874
123,Myanmar,4.426,4.308,55227143
124,Jordan,4.395,4.633,10300869
125,Chad,4.355,4.423,17413580
126,Sri Lanka,4.325,4.327,21575842
127,Eswatini,4.308,4.308,1184817
128,Comoros,4.289,4.289,907419
129,Egypt,4.283,4.151,106156692
130,Ethiopia,4.275,4.186,120812698
131,Mauritania,4.227,4.375,4901981
132,Madagascar,4.208,4.166,29178077
133,Togo,4.107,4.187,8680837
134,Zambia,4.073,3.759,19470234
135,Sierra Leone,3.849,3.926,8306436
136,India,3.819,3.573,1406631776
137,Burundi,3.775,3.775,12624840
138,Yemen,3.658,3.527,31154867
139,Tanzania,3.623,3.476,63298550
140,Haiti,3.615,3.721,11680283
141,Malawi,3.6,3.538,20180839
142,Lesotho,3.512,3.653,2175699
143,Botswana,3.467,3.479,2441162
144,Rwanda,3.415,3.312,13600464
145,Zimbabwe,3.145,3.299,15331428
146,Afghanistan,2.523,2.567,40754388
